,,0
LulaNaBand,21,0.0
LulaNaBand,22,0.0
LulaNaBand,23,0.0
LulaNaBand,24,0.0
LulaNaBand,25,0.0
LulaNaBand,26,0.0
LulaNaBand,27,0.0
LulaNaBand,28,24.865186950692685
LulaNaBand,29,73.04384527533642
LulaNaBand,30,1.7701971299468693
LulaNaBand,31,0.320770644024033
