Unnamed: 0,Unnamed: 1,0
Moro,21.0,8.012757354819405
Moro,22.0,3.395392853059308
Moro,23.0,3.201745743291076
Moro,24.0,8.201052408790021
Moro,25.0,5.204874263180045
Moro,26.0,14.569025706897095
Moro,27.0,28.184169105501184
Moro,28.0,6.322967374354409
Moro,29.0,4.152465473158224
Moro,30.0,12.833013426361797
Moro,31.0,5.922536290587437
bolsonaro,21.0,8.754353425214727
bolsonaro,22.0,8.403250687549777
bolsonaro,23.0,9.92003012099608
bolsonaro,24.0,7.730210295859777
bolsonaro,25.0,8.081313033524728
bolsonaro,26.0,7.735087400147386
bolsonaro,27.0,8.749525091969995
bolsonaro,28.0,10.022400539992988
bolsonaro,29.0,10.944222021393903
bolsonaro,30.0,8.73001667481956
bolsonaro,31.0,10.92959070853108
BolsonaroMentiroso,21.0,0.0302510839971765
BolsonaroMentiroso,22.0,19.15397801754563
BolsonaroMentiroso,23.0,61.28869617827972
BolsonaroMentiroso,24.0,4.736815569224564
BolsonaroMentiroso,25.0,1.5125541998588283
BolsonaroMentiroso,26.0,1.3134012302107492
BolsonaroMentiroso,27.0,0.7890491075930222
BolsonaroMentiroso,28.0,1.2327316728849451
BolsonaroMentiroso,29.0,7.572854693959867
BolsonaroMentiroso,30.0,1.358777856206514
BolsonaroMentiroso,31.0,1.0108903902389836
21,,1.9861345325089
22,,13.734307663481356
23,,22.746861532696272
24,,7.75716694772344
25,,5.396290050590219
26,,9.068765223908564
27,,3.185310099306727
28,,3.616263818624695
29,,24.71425894697396
30,,4.215851602023609
31,,3.5787895821622637
lula,21.0,10.061901954559884
lula,22.0,9.783191994316208
lula,23.0,9.098037881879884
lula,24.0,7.955043611022932
lula,25.0,8.18651459495412
lula,26.0,8.956509908847671
lula,27.0,8.22902967363536
lula,28.0,10.510672229528517
lula,29.0,8.81006908227896
lula,30.0,8.857308058591446
lula,31.0,9.551721010385016
Ciro,21.0,9.19446639257543
Ciro,22.0,1.8348042301116452
Ciro,23.0,2.5157468539772245
Ciro,24.0,6.731752175096981
Ciro,25.0,16.266913080937268
Ciro,26.0,10.805890729555871
Ciro,27.0,13.273068973675633
Ciro,28.0,5.862249065902425
Ciro,29.0,5.528072031533885
Ciro,30.0,17.659689393026298
Ciro,31.0,10.327347073607337
Lulindo,21.0,0.2984921002521743
Lulindo,22.0,24.882919046883845
Lulindo,23.0,61.17029488960939
Lulindo,24.0,0.1852709587772116
Lulindo,25.0,0.241881529514693
Lulindo,26.0,0.7050589264577222
Lulindo,27.0,0.241881529514693
Lulindo,28.0,1.2042612320518755
Lulindo,29.0,2.3776439709742165
Lulindo,30.0,5.964695589521898
Lulindo,31.0,0.3499562554680665
eleições,21.0,9.170521427115691
eleições,22.0,3.813896900340289
eleições,23.0,5.820430950895807
eleições,24.0,11.3524496513732
eleições,25.0,9.273040556814744
eleições,26.0,11.434434075876508
eleições,27.0,12.350004014303272
eleições,28.0,6.811037481240851
eleições,29.0,6.132620228382977
eleições,30.0,16.40228877044979
eleições,31.0,7.439275943206873
21,,6.848873116099
22,,5.378623772871825
23,,21.96156150619901
24,,4.074295985620132
25,,6.189795824307508
26,,10.85864405217311
27,,6.046918928884177
28,,3.0603309213255288
29,,23.090749873254367
30,,8.475826151080794
31,,4.014379868184541
Bonoro,21.0,3.809474847698121
Bonoro,22.0,8.46978382129913
Bonoro,23.0,14.854895509343752
Bonoro,24.0,3.7169369971467496
Bonoro,25.0,1.786494614811197
Bonoro,26.0,12.549160733105415
Bonoro,27.0,18.325064905020177
Bonoro,28.0,7.050870112844768
Bonoro,29.0,21.982880497648
Bonoro,30.0,5.10757525126597
Bonoro,31.0,2.346862709816724
Bonner,21.0,1.2482473157520697
Bonner,22.0,16.315209457772315
Bonner,23.0,19.78372356568004
Bonner,24.0,11.427261202773565
Bonner,25.0,11.665674279238615
Bonner,26.0,20.7320938094232
Bonner,27.0,7.571235810460404
Bonner,28.0,2.713299272035803
Bonner,29.0,5.573896049017536
Bonner,30.0,2.6364692776059773
Bonner,31.0,0.3328899602404779
21,,1.5486725663716814
22,,3.982300884955752
23,,13.716814159292037
24,,7.7433628318584065
25,,5.9734513274336285
26,,3.3185840707964607
27,,10.619469026548671
28,,9.513274336283184
29,,20.35398230088496
30,,15.265486725663717
31,,7.964601769911504
ciro2022,21.0,2.7846027846027845
ciro2022,22.0,3.357903357903358
ciro2022,23.0,6.142506142506143
ciro2022,24.0,26.126126126126124
ciro2022,25.0,6.142506142506143
ciro2022,26.0,9.828009828009828
ciro2022,27.0,8.845208845208845
ciro2022,28.0,4.340704340704341
ciro2022,29.0,18.91891891891892
ciro2022,30.0,5.896805896805897
ciro2022,31.0,7.616707616707617
BrasilComBolsonaro,21.0,0.0
BrasilComBolsonaro,22.0,0.0
BrasilComBolsonaro,23.0,0.0
BrasilComBolsonaro,24.0,66.77752873978744
BrasilComBolsonaro,25.0,27.778179451955754
BrasilComBolsonaro,26.0,0.1735232448846793
BrasilComBolsonaro,27.0,2.8342129997830963
BrasilComBolsonaro,28.0,0.6977080471404815
BrasilComBolsonaro,29.0,0.5386450726628588
BrasilComBolsonaro,30.0,0.6181765599016701
BrasilComBolsonaro,31.0,0.5820258838840286
SimoneTebet,21.0,0.74290262669143
SimoneTebet,22.0,0.716370390023879
SimoneTebet,23.0,1.3266118333775536
SimoneTebet,24.0,1.3000795967100025
SimoneTebet,25.0,3.343061820111436
SimoneTebet,26.0,5.173786150172459
SimoneTebet,27.0,11.090474927036349
SimoneTebet,28.0,3.767577606792252
